experience.title, "ПОДСИСТЕМА ДОСТИЖЕНИЙ"
experience.setup, "{{amount}} душ будет заработано за общение в {{fromKey}}"
experience.status, "У вас {{amount}} душ! Осторожнее..."
experience.amount, "{{amount}} душ"
experience.reason, "Источник: {{reason}}"
experience.manualAdd, "<@{{targetUserId}}> получил {{amount}} душ за \"{{reason}}\""
experience.fromChannel, "общение в {{fromKey}}"
,
experience.badAmount, "Количество указано неправильноt"
experience.noExp, "Вы еще не получали души..."
experience.undefined, "неопознан"